tile_bigint,clean_lat,clean_lon,school_id,sn,source_school_id,school_name,school_category,school_settings,district,sector,cell,village,electricity_availability,internet_availability,connectivity_type,number_of_students,number_of_teachers,computers,uuid,giga_school_id,latitude,longitude,percent_2g,percent_3g,percent_4g
2.62022E+15,-2.0366111,29.4505,2722,2722,320602,GAKO,GOVERNMENT_AIDED,PRIMARY,RUTSIRO,MUKURA,KAGUSA,GAKO,OFF GRID,NONE,None,287,20,,135b8986-964b-488e-b5f0-096ebd7efcf4,G_RWA_02722,-2.0366111,29.4505,30.97,53.98,15.04
2.62421E+15,-1.93144,29.76919,3322,3322,270206,NGOMA KABACUZI,GOVERNMENT_AIDED,PRIMARY,MUHANGA,KABACUZI,NGOMA,CYAMBARI,ON GRID,NONE,None,938,19,,b7424309-8e50-4d03-bf3e-29dd394076f7,G_RWA_03322,-1.93144,29.76919,31.76,56.08,12.16
2.62315E+15,-2.79003,29.68461,3623,3623,230901,EP BIHEMBE,GOVERNMENT_AIDED,PRIMARY,NYARUGURU,NGOMA,NYAMIRAMA,BIHEMBE,ON GRID,USB_MODEM,3G,1006,25,,cf68b427-a4e5-481d-9327-5c452776d653,G_RWA_03623,-2.79003,29.68461,40,42.86,17.14
2.61764E+15,-2.29714,29.24422,3720,3720,370710,MWEYA,GOVERNMENT_AIDED,PRIMARY,NYAMASHEKE,KARAMBI,KAGARAMA,KAMAGESE,ON GRID,USB_MODEM,3G,1483,23,,b32290d8-d270-4edd-9b81-6972536b1b01,G_RWA_03720,-2.29714,29.24422,38.67,45.33,16
2.62367E+15,-2.05944,29.72619,3732,3732,270506,GITONGATI,GOVERNMENT_AIDED,PRIMARY,MUHANGA,MUHANGA,NGANZO,GITONGATI,ON GRID,USB_MODEM,3G,1685,28,,8ffea17c-19e9-414a-a7a9-7e618ddbae8b,G_RWA_03732,-2.05944,29.72619,36.09,54.35,9.57
2.62396E+15,-2.35089,29.74928,3797,3797,210108,ESCLMNYANZA,GOVERNMENT_AIDED,SECONDARY,NYANZA,BUSASAMANA,NYANZA,KIGARAMA,ON GRID,FIBER OPTIC,fibre,1087,37,,bcbb5b6f-9fee-429c-944c-cdc3ea0bc150,G_RWA_03797,-2.35089,29.74928,31.75,60.05,8.2
2.62492E+15,-2.602444444,29.82591667,4049,4049,221112,TVET Eugenie SMET,GOVERNMENT_AIDED,TVET,GISAGARA,NDORA,GISAGARA,GISAGARA,OFF GRID,NONE,None,407,10,,7fa1aca5-e62a-45de-82f6-67ff20ae3f88,G_RWA_04049,-2.602444444,29.82591667,39.73,52.05,8.22
2.62495E+15,-1.78131,29.82825,186,186,420211,RWAHI,PUBLIC,12YBE,GAKENKE,COKO,MBIRIMA,BURENGO,ON GRID,NONE,None,420,16,277,096f27a4-2e54-406c-98f9-9b7cccc1571b,G_RWA_00186,-1.78131,29.82825,40.82,52.38,6.8
2.62604E+15,-1.602666667,29.91561111,538,538,250912,GS NGANZO,PUBLIC,9 YBE,RULINDO,CYUNGO,MAREMBO,RUSAYU,ON GRID,USB_MODEM,3G,483,10,255,f753b8c3-283a-4a90-a2c2-1d45a4746b36,G_RWA_00538,-1.602666667,29.91561111,33.33,61.36,5.3
2.61999E+15,-2.304888889,29.43188889,593,593,121031,EP REMERA,PUBLIC,"""PRE_PRIMARY,PRIMARY""",NYAMAGABE,MUSHUBI,BUTETERI,REMERA,ON GRID,USB_MODEM,3G,18,3,232,e17085d8-7089-4ae4-9263-87dddfdc13d4,G_RWA_00593,-2.304888889,29.43188889,23.08,61.54,15.38
2.62317E+15,-2.419555556,29.68633333,757,757,231304,EP RUGARAMA,PUBLIC,"""PRE_PRIMARY,PRIMARY""",HUYE,RWANIRO,NYARUHOMBO,KIBARA,ON GRID,USB_MODEM,3G,411,12,132,c2207b31-af37-4554-a4de-18b719360d56,G_RWA_00757,-2.419555556,29.68633333,31.61,59.35,9.03
2.62641E+15,-1.861833333,29.94488889,976,976,411602,EP NYUNDO,GOVERNMENT_AIDED,PRIMARY,RULINDO,SHYORONGI,RUBONA,KIGALI,ON GRID,NONE,None,404,20,160,f2518691-db0f-46e6-ad3f-94d128002d09,G_RWA_00976,-1.861833333,29.94488889,35.71,57.14,7.14
2.62003E+15,-2.50417,29.43447,985,985,251705,MUNINI,GOVERNMENT_AIDED,PRIMARY,NYAMAGABE,UWINKINGI,RUGOGWE,NYAMUGARI,OFF GRID,NONE,None,466,20,187,8f94383e-5e07-494b-80da-66d87b5701af,G_RWA_00985,-2.50417,29.43447,34.67,53.33,12
2.619E+15,-2.129916667,29.35244444,1409,1409,521208,EP UMUBANO,PUBLIC,PRIMARY,KARONGI,RWANKUBA,NYARUSANGA,GASHARU,ON GRID,USB_MODEM,3G,1166,17,100,725daf79-4f68-4834-988f-1bfdd6e403e9,G_RWA_01409,-2.129916667,29.35244444,34.75,55.08,10.17
