tile_bigint,clean_lat,clean_lon,uuid,country,source,giga_school_id,source_school_id,name,education_level,lat,lon,hex8,dq_score,source_timestamp,master_timestamp,school_archive,electricity_availability,connectivity_availability,num_students,num_teachers,num_computers,computer_lab,percent_2g,percent_3g,percent_4g
2.10E+15,8.579006,-12.14255,b9ab8380-b756-3642-9197-f4d717691fcc,Sierra Leone,government,G_SL_005488,250401213,"""ROMAN CATHOLIC PRIMARY SCHOOL  (ROBIS SECTION, MASIAKA TOWN (8.578829 ; -12.14267)""",Primary,8.579006,-12.14255,8854eb2637fffff,1,2020,17:40.1,No,No,No,118,4,,No,11.81,73.23,14.96
2.10E+15,8.720796,-11.93323,06f5991c-54b1-3faa-a408-93d7e01ed48b,Sierra Leone,government,G_SL_005545,250501403,"""NATIONAL COMMERCIAL SECONDARY  (LAL-LENKEN SECTION, MAGBURAKA TOWN (8.721862 ; -11.93233)""",Secondary,8.720796,-11.93323,8875b6dab3fffff,0.67,2020,17:40.1,No,Yes,No,1284,29,,No,11.9,73.81,14.29
2.10E+15,8.715494,-11.94979,c1bf8319-6636-379e-9ea0-b4046ae42ec7,Sierra Leone,government,G_SL_005549,250501211,"""ROMAN CATHOLIC BOYS PRIMARY  (BO ROAD SECTION SECTION, MAGBURAKA TOWN (8.715545 ; -11.94982)""",Primary,8.715494,-11.94979,8875b6d8cbfffff,1,2020,17:40.1,No,No,No,268,14,,No,11.9,73.81,14.29
2.10E+15,8.551723,-11.91144,9ec10931-7d7f-35f3-90de-6f2f34ea4d5b,Sierra Leone,government,G_SL_005828,250101203,"""ROMAN CATHOLIC PRIMARY SCHOOL  MABARR POLI  (UPPER POLIE SECTION, MABARR POLI TOWN (8.551766 ; -11.91132)""",Primary,8.551723,-11.91144,8875b6cc4dfffff,1,2020,17:40.1,No,No,No,201,5,,No,11.9,73.81,14.29
2.10E+15,8.51338,-12.28237,4c726b9d-d190-380f-a476-2afe34fd607f,Sierra Leone,government,G_SL_005985,251101301,"""ERNEST BAI KOROMA JR SECONDARY SCHOOL  (MAMEKA SECTION, MAMAKA TOWN (8.513422 ; -12.28222)""",Secondary,8.51338,-12.28237,8854eb2c51fffff,1,2020,17:40.1,No,No,No,366,10,,No,11.81,73.23,14.96
2.11E+15,7.747378,-11.61456,855424f6-0ad4-3fd2-bd7e-ddbe823c5043,Sierra Leone,government,G_SL_006697,310702217,"""BO DISTRICT EDUCATION COMMITTEE PRIMARY  (LOWER NYAWA SECTION, MANO TOWN (7.747408 ; -11.61424)""",Primary,7.747378,-11.61456,8875b29597fffff,1,2020,17:40.1,No,No,No,276,7,,No,11.36,74.24,14.39
2.11E+15,7.924125,-11.73475,a5eb9dc9-3810-3095-a842-65d0182d1c1c,Sierra Leone,government,G_SL_007078,319103346,"""SALVATIONITE ELEMENTARY SCHOOL  (GEOMA SECTION SECTION, SAMI 2 TOWN (7.923949 ; -11.73468)""",Primary,7.924125,-11.73475,8875b2933dfffff,1,2020,17:40.1,No,No,No,21,5,,No,10.94,74.22,14.84
2.10E+15,7.788305,-12.29908,90228216-8ac4-396b-8664-242bb02fcfbe,Sierra Leone,government,G_SL_007275,320401107,"""LOGOS CHRISTIAN ACADEMY PRE PRIMARY SCHOOL  (BABOM SECTION, MORIBA TOWN TOWN (7.788301 ; -12.29908)""",Primary,7.788305,-12.29908,8854cd36c3fffff,1,2020,17:40.1,No,No,No,120,2,,No,11.81,74.02,14.17
2.10E+15,7.613252,-12.17927,f56e34e5-26c1-3757-af99-ce26bcd7f667,Sierra Leone,government,G_SL_007338,320503103,"""FAWE PRE SCHOOL  (BAYENGBA SECTION, MATTRU TOWN (7.613163 ; -12.17928)""",Primary,7.613252,-12.17927,8875b2cc2dfffff,1,2020,17:40.1,No,No,No,114,4,,No,11.02,74.02,14.96
2.10E+15,7.671589,-12.09814,cb0364cd-24e8-33d4-9c33-b9f3731230b9,Sierra Leone,government,G_SL_007384,320601208,"""DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL  (GBONGE SECTION, MOTAMI TOWN (7.671568 ; -12.09814)""",Primary,7.671589,-12.09814,8875b2ce59fffff,1,2020,17:40.1,No,No,No,139,6,,No,11.02,74.02,14.96
2.09E+15,8.228104,-12.54113,e1866cad-3815-36c8-b65c-a980bc34045d,Sierra Leone,government,G_SL_007822,330801215,"""ROMAN CATHOLIC PRIMARY SCHOOL MOYUBA TOWN  (TONGIE SECTION, MOYUBA TOWN TOWN (8.22823 ; -12.54124)""",Primary,8.228104,-12.54113,8854cd8f07fffff,1,2020,17:40.1,No,No,No,118,2,,No,11.72,74.22,14.06
2.10E+15,8.19146,-12.05684,5e083280-31ca-380c-9ed9-2e5ba1dca87f,Sierra Leone,government,G_SL_007835,330902229,"""AHMADIYYA MUSLIM PRIMARY SCHOOL  (GBAYA TOWN SECTION SECTION, TAIMA TOWN (8.19144 ; -12.05671)""",Primary,8.19146,-12.05684,8875b67b69fffff,1,2020,17:40.1,No,No,No,180,10,,No,12.4,73.64,13.95
2.10E+15,7.790767,-12.15603,45f79ec6-9e76-375d-b9bb-ec251cc08812,Sierra Leone,government,G_SL_008089,331401101,"""MALLORY JANSEN PRE-PRIMARY SCHOOL  (KEAPE SECTION, NGOLALA TOWN (7.79077 ; -12.15597)""",Primary,7.790767,-12.15603,8875b2c363fffff,1,2020,17:40.1,No,No,No,188,6,,No,11.63,73.64,14.73
2.10E+15,7.716315,-12.1641,53d3730d-129b-3cd0-9dc4-cebe5989e5dc,Sierra Leone,government,G_SL_008099,331401208,"""UNITED BRETHREN IN CHRIST PRIMARY SCHOOL  (BAIKELLEH SECTION, MOKELLEH TOWN (7.712595 ; -12.16654)""",Primary,7.716315,-12.1641,8875b2c1edfffff,0.94,2020,17:40.1,No,No,No,309,4,,No,10.85,74.42,14.73
2.11E+15,7.411232,-11.40851,f69e6a63-9529-3ea8-9521-4ad30666bab2,Sierra Leone,government,G_SL_008122,340103216,"""PUJEHUN DISTRICT COUNCIL PRIMARY  (DAKONA SECTION, TANINAHUN TOWN (7.411247 ; -11.40844)""",Primary,7.411232,-11.40851,8875b2a6ebfffff,1,2020,17:40.1,No,No,No,264,6,,No,11.63,73.64,14.73
2.11E+15,7.275779,-11.2343,be7457c9-7dbe-3e0f-942e-8d0e1c649414,Sierra Leone,government,G_SL_008277,340402203,"""AHMADIYYA MUSLIM PRIMARY SCHOOL  (SAMAGBAY SECTION, GBAA TOWN (7.275764 ; -11.23428)""",Primary,7.275779,-11.2343,8875b3d629fffff,0.94,2020,17:40.1,No,No,No,512,6,,No,14.18,71.64,14.18
2.09E+15,8.330108,-13.04437,34b07cfd-28e9-3db5-9d69-6bbfb0cba474,Sierra Leone,government,G_SL_008508,410101305,"""MUHAJIRINISLAMIC JUNIOR SECONDARY SCHOOL  (KOYA RURAL SECTION, MORABIE TOWN (8.330075 ; -13.0443)""",Secondary,8.330108,-13.04437,8854cc3691fffff,1,2020,17:40.1,No,No,No,99,5,,No,11.81,72.44,15.75
2.09E+15,8.340916,-13.05643,a00e2a03-e667-3177-aad2-5e2c7aa094f9,Sierra Leone,government,G_SL_008742,420302326,"""ELIZABETH OMOH COLE PRIMARY SCHOOL  (BOLIMA SECTION, BOLIMA TOWN (8.340948 ; -13.05635)""",Primary,8.340916,-13.05643,8854cc3681fffff,0.67,2020,17:40.1,No,No,No,103,6,,No,11.81,72.44,15.75
2.09E+15,8.390742,-13.09588,9fb9ddaa-410c-37d8-8be8-0cfdf9679650,Sierra Leone,government,G_SL_008756,410303231,"""EXCEL INTERNATIONAL PRIMARY  (WATERLOO SECTION, ROKEL TOWN (8.390859 ; -13.09595)""",Primary,8.390742,-13.09588,8854cc366bfffff,1,2020,17:40.1,No,No,No,62,6,,No,11.72,72.66,15.63
2.09E+15,8.381997,-13.12088,86692e0b-7a98-3ba1-81a5-511f5b2cca78,Sierra Leone,government,G_SL_008795,410303110,"""GOD IS LIGHT PRE-SCHOOL  (WATERLOO SECTION, YAMS FARM TOWN (8.383637 ; -13.11853)""",Primary,8.381997,-13.12088,8854cc3751fffff,1,2020,17:40.1,No,No,No,30,2,,No,11.72,72.66,15.63
2.09E+15,8.391089,-13.09433,8b431d4c-0e45-3e21-9a6e-f361734d0073,Sierra Leone,government,G_SL_009077,420302726,"""WISDOM PREPARATORY PRIMARY SCHOOL  (ROKEL SECTION, ROKEL TOWN (8.391062 ; -13.09437)""",Primary,8.391089,-13.09433,8854cc366bfffff,0.67,2020,17:40.1,No,No,No,120,6,,No,11.72,72.66,15.63
2.09E+15,8.48411,-13.23196,3712d59c-0ba7-3d6c-8a61-5fa5e107d7f0,Sierra Leone,government,G_SL_009398,420101214,"""TOWER HILL KINDERGARTEN AND PRIMARY SCH  (TOWER HILL SECTION, TOWER HILL TOWN (8.484082 ; -13.23167)""",Primary,8.48411,-13.23196,8854cca9b5fffff,0.67,2020,17:40.1,No,Yes,Yes,349,15,30,Yes,11.02,74.02,14.96
2.09E+15,8.486301,-13.22482,47e5fadd-cbd2-3bfc-9e55-71c60cb8be5f,Sierra Leone,government,G_SL_009553,420102104,"""TRIMPHANT INTERNATIONAL PRE-PRIMARY SCHOOL  (FULLAH TOWN SECTION, FOULLAH TOWN TOWN (8.470075 ; -13.23979)""",Primary,8.486301,-13.22482,8854cca9b1fffff,0.67,2020,17:40.1,No,No,No,128,6,,No,11.02,74.02,14.96
2.09E+15,8.461046,-13.19306,5b88d74a-39f1-389d-9a1f-fc9b0c7b2638,Sierra Leone,government,G_SL_009670,420513103,"""CALVARY PRE-SCHOOL  (LOOKING TOWN SECTION, KISSY TOWN (8.460789 ; -13.19333)""",Primary,8.461046,-13.19306,8854cc3201fffff,0.67,2020,17:40.1,No,Yes,No,91,4,,No,10.94,74.22,14.84
2.09E+15,8.446568,-13.16156,ddc97a4b-0836-39f5-b57a-5e28517b1fdd,Sierra Leone,government,G_SL_009956,420503302,"""KING FAHAD ISLAMIC J.S.S  (WELLINGTON SECTION, WELLINGTON TOWN (8.446393 ; -13.16152)""",Secondary,8.446568,-13.16156,8854cc32c9fffff,1,2020,17:40.1,No,Yes,No,979,36,,No,10.94,74.22,14.84
2.09E+15,8.446714,-13.15948,aa640b38-dd74-3bfc-8968-0a5e30b1d4a4,Sierra Leone,government,G_SL_010184,420503103,"""SIERRA LEONE INTERNATIONAL MISSION PRE PRIMARY SCHOOL  (WELLINGTON SECTION, WELLINGTON TOWN (8.4468 ; -13.15955)""",Primary,8.446714,-13.15948,8854cc32c9fffff,1,2020,17:40.1,No,No,No,105,5,,No,10.94,74.22,14.84
2.09E+15,8.477492,-13.24714,08f043d5-256c-32e8-a43d-c5076a53e716,Sierra Leone,government,G_SL_010513,420602402,"""FREETOWN SECONDARY SCHOOL FOR GIRLS S.S.S.  (BROOMFIELD SECTION, BROOKFIELDS TOWN (8.477567 ; -13.24712)""",Secondary,8.477492,-13.24714,8854cc3341fffff,1,2020,17:40.1,No,Yes,Yes,1466,46,24,Yes,11.02,74.02,14.96
2.09E+15,8.449311,-13.16274,9bb55390-b01c-3a45-8da6-7a9a8a21255e,Sierra Leone,government,G_SL_000431,,ARMY OF GOD ACADEMY SENIOR SECONDARY SCHOOL,Secondary,8.449311,-13.16274,8854ccad27fffff,0.67,2020,17:40.1,No,Yes,No,130,12,,No,10.94,74.22,14.84
2.12E+15,8.261993,-10.42005,6f5bb534-b038-325a-b901-b2b5e8b00e72,Sierra Leone,government,G_SL_000777,110803203,KAILAHUN DISTRICT  EDUCATION COMMITTEE PRIMARY SCHOOL,Primary,8.261993,-10.42005,8875b55165fffff,1,2020,17:40.1,No,No,No,142,6,,No,11.11,73.81,15.08
