,uuid,country,source,giga_school_id,source_school_id,school_name,education_level,latitude,longitude,hex8,dq_score,source_timestamp,master_timestamp,school_archive,electricity_availability,internet_availability,number_of_students,number_of_teachers,computers,connectivity_type,coverage,coverage_type,2G_coverage,3G_coverage,4G_coverage
86,73d8d88e-3425-4df2-9b87-cffcded1427c,Rwanda,government,G_RWA_00228,310410.0,GS BUREGA,Secondary,-2.159,29.40411,886ade30bdfffff,0.56,2020,00:52.6,No,OFF GRID,NONE,695,15,241.0,None,YES,4G,YES,NO,YES
87,71c0ef0e-9554-4cc1-b781-03ada10e0f48,Rwanda,government,G_RWA_00229,320804.0,GS MURAMA,Secondary,-1.973666667,29.34669444,886adea8dbfffff,1.0,2020,00:52.6,No,OFF GRID,NONE,696,16,314.0,None,YES,4G,YES,YES,YES
88,95dd9f9b-bbce-4f38-83f3-e49b88cc734d,Rwanda,government,G_RWA_00234,310601.0,GS MUHORORO,Secondary,-2.15939,29.54797,886ade34e7fffff,0.67,2020,00:52.6,No,OFF GRID,NONE,739,12,342.0,None,YES,4G,YES,NO,YES
89,e3d2673d-329b-40c1-bf2d-825764df130f,Rwanda,government,G_RWA_00236,310907.0,GS NYARUBUYE,Secondary,-2.05744,29.42708,886adeada9fffff,0.67,2020,00:52.6,No,ON GRID,NONE,772,16,249.0,None,YES,4G,YES,YES,YES
90,5b0592dd-e922-49aa-9167-6272c3592bbc,Rwanda,government,G_RWA_00237,130407.0,GS MUYANGE,Secondary,-1.9961944,30.11775,886ad81053fffff,0.67,2020,00:52.6,No,OFF GRID,NONE,773,18,395.0,None,YES,4G,YES,YES,YES
91,9531a4af-6188-4779-b2f8-9606620f1605,Rwanda,government,G_RWA_00238,251203.0,GS GASAVE,Secondary,-2.24797,29.55306,886ade2711fffff,0.67,2020,00:52.6,No,OFF GRID,NONE,783,15,260.0,None,YES,4G,YES,YES,YES
92,864415e3-147d-4032-9efd-512efab640c8,Rwanda,government,G_RWA_00239,130408.0,GS NYANZA,Secondary,-2.0014722,30.0934166,886ad81043fffff,0.67,2020,00:52.6,No,ON GRID,NONE,783,18,332.0,None,YES,4G,YES,YES,YES
93,165248ce-7527-4c82-8e0e-29e6d714087b,Rwanda,government,G_RWA_00242,121406.0,GS RUHANGA,Secondary,-1.93997,30.25631,886ad8165dfffff,0.67,2020,00:52.6,No,ON GRID,NONE,796,17,391.0,None,YES,4G,YES,YES,YES
94,a615f9dd-95d1-43b3-bd7a-6e41142c3e61,Rwanda,government,G_RWA_00243,310111.0,GS NYABIKENKE,Secondary,-2.07353,29.38553,886ade32c7fffff,0.67,2020,00:52.6,No,OFF GRID,NONE,815,18,255.0,None,YES,4G,YES,YES,YES
95,ade02872-f4d6-4b9c-a9c6-a00c29f29a76,Rwanda,government,G_RWA_00244,441507.0,GS RUSEKERA,Secondary,-1.57244,29.94133,886ad89365fffff,0.67,2020,00:52.6,No,OFF GRID,NONE,816,17,263.0,None,YES,4G,YES,YES,YES
