uuid,country,source,school_id,giga_school_id,name,education_level,lat,lon,hex8,dq_score,source_timestamp,master_timestamp,school_archive,electricity_availability,connectivity,student_count,teacher_count,computer_count,computer_lab,fiber_node_distance,nearest_school_distance,Schools_within_1km,Schools_within_3km,Schools_within_10km,nearest_celltower_id,nearest_celltower_distance,2G,3G,4G,pop_within_1km,pop_within_3km,pop_within_7km
aa83a2ff-0d27-3903-8afd-e9c82bc1525d,Sierra Leone,government,319103249,G_SL_006762,"ISLAG PRIMARY SCHOOL MESSIMA SECTION BO  (MESSIMA SECTION BO CITY. SECTION, MESSIMA TOWN (7.952593 ; -11.72797)",Primary,7.95261,-11.72791,8875b29345fffff,1,2020,44390.5956,No,Yes,No,352,15,,No,60.44573382,0.151283121,412,538,843,353,0.244428166,1,1,1,286812,368449,494678
408a6e94-d186-396b-ba37-d270589b4c30,Sierra Leone,government,319103210,G_SL_006763,"ISLAMIC CALL SOCIETY  PRIMARY  (JOHNNY LAYOUT SECTION, JOHNNY LAYOUT TOWN (7.940063 ; -11.73911)",Primary,7.940041,-11.73915,8875b29363fffff,1,2020,44390.5956,No,No,No,271,16,,No,61.50131282,0.218490687,340,548,843,358,0.258683167,1,1,1,245256,372933,490908
3ae5250c-5ef6-3b78-8fbe-4c20f7b49535,Sierra Leone,government,319101118,G_SL_006764,"ISLAMIC CALL SOCIETY PRE-PRIMARY  SCHOOL  , BO  (DURBAR GROUND SECTION, DURBA GROUND TOWN (7.966501 ; -11.72677)",Primary,7.966565,-11.72687,8875b629a5fffff,1,2020,44390.5956,No,No,No,45,3,,No,60.56436959,0.009137822,368,535,842,478,0.615059915,1,1,1,266649,364185,491492
8cf34d7a-cbc6-3d37-9857-cbf79229f2de,Sierra Leone,government,310802213,G_SL_006765,"ISLAMIC CALL SOCIETY PRIMARY SCH.  (DURBAR GROUND SECTION SECTION, DURBA GROUND TOWN (7.966545 ; -11.72682)",Primary,7.966622,-11.72681,8875b629a5fffff,1,2020,44390.5956,No,No,No,529,16,,No,60.55887024,0.009137822,365,535,842,478,0.616650395,1,1,1,266381,364166,491492
c4f28359-7dfa-3dce-8732-2f575f13d57a,Sierra Leone,government,319101254,G_SL_006766,"ISLAMIC CALL SOCIETY PRIMARY SCHOOL  (GOBA TOWN SECTION, GOBA TOWN TOWN (7.970111 ; -11.74358)",Primary,7.970139,-11.74361,8875b6669dfffff,1,2020,44390.5956,No,No,No,306,8,,No,62.44978375,0.075886254,367,535,842,431,0.367962359,1,1,1,243250,364229,483025
39581d4c-9d48-37d3-bde1-0e1fe56a08ef,Sierra Leone,government,319101315,G_SL_006767,"ISLAMIC CALL SOCIETY SECONDARY SCHOOL  (DURBAR GROUND SECTION, DURBA GROUND TOWN (7.966615 ; -11.72568)",Secondary,7.966783,-11.72575,8875b629a5fffff,1,2020,44390.5956,No,No,No,333,20,,No,60.44648039,0.021867361,360,535,842,478,0.705720629,1,1,1,260192,364175,492309
d03ed435-058e-39c5-b29b-c8436a3acda4,Sierra Leone,government,319103404,G_SL_006768,"ISLAMIC CALL SOCIETY SENIOR SECONDARY SCHOOL  (DURBAR GROUND SECTION SECTION, DURBA GROUND TOWN (7.966688 ; -11.72573)",Secondary,7.966598,-11.72568,8875b629a5fffff,1,2020,44390.5956,No,No,No,245,20,,No,60.43552186,0.021867361,360,535,842,478,0.7225727,1,1,1,261035,364183,492260
83e3f0fa-dd9d-3be9-b444-e837e58ccbab,Sierra Leone,government,310801308,G_SL_006769,"ISLAMIC JUNIOR SECONDARY SCHOOL  (JOHNNY LAYOUT SECTION, JOHNNY LAYOUT TOWN (7.941708 ; -11.73392)",Secondary,7.941853,-11.73376,8875b2936bfffff,0.67,2020,44390.5956,No,Yes,No,337,14,,No,60.93397081,0.00246697,361,549,845,358,0.415153629,1,1,1,256306,372946,494562
f8224edf-6fb1-3d03-b778-6bd09825a8fa,Sierra Leone,government,310801305,G_SL_006770,"JEFFERSON BAPTIST JSS  (TENGBEWABU SECTION, TENGBEWABU TOWN (7.943143 ; -11.72013)",Secondary,7.94292,-11.72003,8875b29343fffff,1,2020,44390.5956,No,No,No,233,14,,No,59.4450723,0.025052921,296,545,847,381,0.448913523,1,1,1,215195,371507,498752
28ea1ae1-40bd-33e2-aba0-1d9dd70b226a,Sierra Leone,government,319103266,G_SL_006771,"JEFFERSON BAPTIST PRIMARY SCHOOL  (TENGBEWABU SECTION, TENGBEWABU TOWN (7.943141 ; -11.72018)",Primary,7.943128,-11.72012,8875b29343fffff,1,2020,44390.5956,No,No,No,323,14,,No,59.45773191,0.025052921,297,545,847,381,0.431219906,1,1,1,216357,371521,498576
ae7b65d7-6749-34a8-912a-da578afab46c,Sierra Leone,government,319101123,G_SL_006772,"JENNIFER GIBSON MEMORIAL PRE-SCHOOL  (HANGHA TOWN SECTION SECTION, MISSION ROAD TOWN (7.966132 ; -11.74094)",Primary,7.965832,-11.74081,8875b6669dfffff,1,2020,44390.5956,No,No,No,250,5,,No,62.06843404,0.03241091,389,534,840,410,0.09150643,1,1,1,277868,364196,484673
06a79571-7bfb-39e5-9bfb-9fd341c94fc4,Sierra Leone,government,319103307,G_SL_006773,"JESFADMEO INTERNATIONAL ACADEMY PRIMARY SCHOOL  (MOFINDOR LAYOUT SECTION, BO KENEMA HIGHWAY TOWN (7.949409 ; -11.70728)",Primary,7.94933,-11.70713,8875b629b7fffff,0.67,2020,44390.5956,No,No,No,287,11,,No,58.12649536,0.013614009,204,542,848,428,1.671407412,1,1,1,147474,368961,501384
