SCHOOL_CODE,SCHOOL_NAME,school_region,LATITUDE,LONGITUDE,connectivity,uuid,Coverage,Coverage_type,2G_coverage,3G_coverage,4G_coverage,5G_coverage,2G_coverage_distance,3G_coverage_distance,4G_coverage_distance,5G_coverage_distance,2G_Best_Coverage_provider,3G_Best_Coverage_provider,4G_Best_Coverage_provider,5G_Best_Coverage_provider,2G_coverage_present,3G_coverage_present,4G_coverage_present,5G_coverage_present,Distance_to_nearest_tower,Data_Source
G_CRI_001554,JOSE MARIA LORIA VEGA,Urban,9.85699098,-83.79435593,NO,581c26ac-91e3-340d-8b6c-f5444f50ca57,YES,4G,Good,Fair,Fair,None,0-5km,0-5km,0-5km,None,movistar,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001563,LA ESPERANZA,Rural,9.63112034,-84.06472821,YES,15293a55-c0a5-329a-95ce-609813d41e12,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001589,PALMITAL SUR,Urban,9.7744819,-83.97689885,YES,ae2079ca-7456-3a00-b71a-9438e1deb6dc,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Claro,movistar,Claro,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001632,SAN PEDRO,Urban,9.66920099,-83.99427448,YES,4a4b7af6-ac1c-3239-8fd0-a720a65e1157,YES,4G,Good,Fair,Fair,None,0-5km,0-5km,0-5km,None,movistar,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001755,EL CAS,Rural,9.99228181,-83.65880499,NO,e4271b65-4fcf-3218-b28e-fd51c655a24e,YES,4G,Fair,Fair,Fair,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001845,BARRIO EL SOCORRO,Urban,9.97255353,-84.06554281,YES,394c2678-eb88-38f2-9d76-c6f1ddac61af,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001862,JUAN SANTAMARIA,Rural,10.32215609,-83.91567451,YES,6cc49be9-a791-34f3-88e7-154f651180a4,YES,4G,Fair,Fair,Fair,None,0-5km,0-5km,0-5km,None,Claro,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001903,EL GASPAR,Rural,10.63329882,-83.87421848,YES,db44a4ce-6759-399e-85d8-47c7e4ff6c31,YES,4G,Good,Fair,Fair,None,0-5km,0-5km,0-5km,None,Claro,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001940,SAN JOSE,Urban,10.00844276,-84.11088882,YES,52a50d1f-c75c-3cee-9f0a-012b550725c0,YES,4G,Fair,Good,Fair,None,0-5km,0-5km,0-5km,None,Claro,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001944,CRISTOBAL COLON,Urban,9.98916785,-84.05880141,YES,6ae987d4-065d-3b97-a2c6-daed497b64da,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
